Time,Section,Velocity
1214,362,0.408
1214,363,9.324
1214,364,10.416
1214,365,-6.036
1214,366,6.3
1214,367,5.7
1214,369,11.52
1214,370,11.244
1214,371,4.464
1214,372,5.7
1214,373,5.7
1214,390,-2.736
1214,391,-2.952
1214,392,-2.16
1214,399,2.58
1215,337,0.372
1215,338,-0.312
1215,339,0.276
1215,362,0.408
1215,363,9.228
1215,364,10.452
1215,365,-5.784
1215,366,6.3
1215,367,5.7
1215,369,11.304
1215,370,11.124
1215,371,4.464
1215,372,5.7
1215,373,5.7
1215,390,-2.676
1215,391,-2.832
1215,392,-2.148
1215,399,2.58
1216,337,0.372
1216,338,-0.312
1216,339,0.276
1216,362,0.408
1216,363,9.144
1216,364,10.476
1216,365,-5.556
1216,366,6.3
1216,367,5.7
1216,369,11.112
1216,370,11.004
1216,371,4.464
1216,372,5.7
1216,373,5.7
1216,390,-2.628
1216,391,-2.724
1216,392,-2.148
1216,399,2.58
1221,337,0.312
1221,338,-0.288
1221,339,0.288
1221,362,10.452
1221,363,9.36
1221,364,9.996
1221,365,0.3
1221,366,6.3
1221,367,5.688
1221,369,11.112
1221,370,11.232
1221,371,4.464
1221,372,5.688
1221,373,5.688
1221,390,3.336
1221,391,-3.804
1221,392,-2.184
1221,399,2.58
1222,337,0.3
1222,338,-0.288
1222,339,0.276
1222,362,10.092
1222,363,9.036
1222,364,10.212
1222,365,-6.276
1222,366,6.3
1222,367,5.7
1222,369,10.32
1222,370,10.944
1222,371,4.464
1222,372,5.7
1222,373,5.7
1222,390,-2.832
1222,391,-3.204
1222,392,-2.148
1222,399,2.58
1223,337,0.3
1223,338,-0.288
1223,339,0.276
1223,362,9.984
1223,363,8.94
1223,364,10.26
1223,365,-6.024
1223,366,6.3
1223,367,5.7
1223,369,10.092
1223,370,10.824
1223,371,4.464
1223,372,5.7
1223,373,5.7
1223,390,-2.748
1223,391,-3.06
1223,392,-2.148
1223,399,2.58
1224,337,0.3
1224,338,-0.288
1224,339,0.276
1224,362,9.9
1224,363,8.856
1224,364,10.308
1224,365,-5.784
1224,366,6.3
1224,367,5.7
1224,369,9.888
1224,370,10.716
1224,371,4.464
1224,372,5.7
1224,373,5.7
1224,390,-2.688
1224,391,-2.928
1224,392,-2.136
1224,399,2.58
1225,337,0.3
1225,338,-0.288
1225,339,0.276
1225,362,9.876
1225,363,8.784
1225,364,10.344
1225,365,-5.556
1225,366,6.3
1225,367,5.7
1225,369,9.708
1225,370,10.596
1225,371,4.464
1225,372,5.7
1225,373,5.7
1225,390,-2.628
1225,391,-2.808
1225,392,-2.136
1225,399,2.58
1226,337,0.3
1226,338,-0.288
1226,339,0.276
1226,362,9.888
1226,363,8.712
1226,364,10.38
1226,365,-5.34
1226,366,6.3
1226,367,5.7
1226,369,9.528
1226,370,10.476
1226,371,4.464
1226,372,5.7
1226,373,5.7
1226,390,-2.568
1226,391,-2.7
1226,392,-2.124
1226,399,2.58
1231,337,0.3
1231,338,-0.288
1231,339,0.288
1231,362,9.768
1231,363,9.252
1231,364,9.984
1231,365,0.288
1231,366,6.3
1231,367,5.688
1231,369,10.836
1231,370,11.076
1231,371,4.464
1231,372,5.688
1231,373,5.688
1231,390,3.336
1231,391,-3.792
1231,392,-2.172
1231,399,2.58
1232,337,0.3
1232,338,-0.288
1232,339,0.276
1232,362,9.408
1232,363,8.952
1232,364,10.188
1232,365,-6.192
1232,366,6.3
1232,367,5.7
1232,369,10.092
1232,370,10.812
1232,371,4.464
1232,372,5.7
1232,373,5.7
1232,390,-2.808
1232,391,-3.192
1232,392,-2.148
1232,399,2.58
1233,337,0.3
1233,338,-0.288
1233,339,0.276
1233,362,9.336
1233,363,8.868
1233,364,10.236
1233,365,-5.94
1233,366,6.3
1233,367,5.7
1233,369,9.876
1233,370,10.692
1233,371,4.464
1233,372,5.7
1233,373,5.7
1233,390,-2.736
1233,391,-3.048
1233,392,-2.136
1233,399,2.58
1234,337,0.3
1234,338,-0.288
1234,339,0.276
1234,362,9.276
1234,363,8.784
1234,364,10.284
1234,365,-5.712
1234,366,6.3
1234,367,5.7
1234,369,9.684
